produto,arquivo,linguagem,linha,trecho,regra,categoria,severidade,risco,sugestao,exemplo_correcao
sample_project,src/cliente.cs,C#,2,public long Cnpj { get; set; },TIPO_NUMERICO_CNPJ,BACKEND,ALTA,Tipo numérico perde zeros e não suporta letras.,Migrar para string/char/varchar.,cnpj VARCHAR(14)
sample_project,src/cliente.cs,C#,2,public long Cnpj { get; set; },IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
sample_project,src/cliente.cs,C#,3,public string Validar(string cnpj){,IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
sample_project,src/cliente.cs,C#,4,"var digits = Regex.Replace(cnpj, @""\D"", """");",SOMENTE_DIGITOS,VALIDACAO,ALTA,Remoção forçada elimina letras válidas do novo CNPJ.,Preservar letras e números; normalizar apenas separadores.,"value.replace(/[\.\/-]/g, '')"
sample_project,src/cliente.cs,C#,4,"var digits = Regex.Replace(cnpj, @""\D"", """");",IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
sample_project,src/cliente.cs,C#,6,"return ""CNPJ aceita somente numeros"";",MENSAGEM_SOMENTE_NUMEROS,FRONTEND,MEDIA,Mensagem de UX orienta regra desatualizada.,Atualizar mensagem para formato alfanumérico.,'Informe CNPJ com 14 posições (alfanumérico)'.
sample_project,src/cliente.cs,C#,6,"return ""CNPJ aceita somente numeros"";",IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
sample_project,sql/migration.sql,SQL,2,"cnpj numeric(14,0)",BANCO_COLUNA_NUMERICA,BANCO_DE_DADOS,ALTA,Coluna numérica de banco não suporta CNPJ alfanumérico.,Migrar coluna para VARCHAR(14) e revisar índices.,ALTER TABLE cliente ALTER COLUMN cnpj TYPE VARCHAR(14);
sample_project,sql/migration.sql,SQL,2,"cnpj numeric(14,0)",IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
sample_project,sql/migration.sql,SQL,4,ALTER TABLE cliente ADD CONSTRAINT ck_cnpj CHECK (length(cnpj)=14);,IDENTIFICADOR_CNPJ,POSSIVEL_FALSO_POSITIVO,BAIXA,Referência a CNPJ pode exigir revisão contextual.,Revisar manualmente o uso semântica e contrato.,Tipo textual + validação nova
